CODG_UND_MED;DESC_UND_MED
2;%
26;Quilômetros quadrados
38;Reais
45;Pessoas
50;Índice
1020;Unidades
1572;Mil pessoas
1618;Reais por metro cúbico
1670;Taxa
1672;Mil hectares
1674;Milhões de Dólares
1694;Nenhuma
1702;Razão
1706;Óbitos
1723;Pontos
1726;Proporção (%)
1728;Reais (2010)
1732;Casos por 100 mil
1736;Óbitos por 100 mil habitantes
1738;Óbitos por 100 mil nascidos vivos
1739;Óbitos por mil nascidos vivos
1741;Quilograma de gás carbônico equivalente por dólares PPC
1742;Não se aplica
1743;Sim/Não
1751;Watts
1755;Porcentagem
1756;Nascidos vivos por 1.000 mulheres
1758;GT CO2 eq
1762;Milhões de toneladas
1767;Dólares por metro cúbico
1769;Reais por hora
1771;Toneladas por hectare
1772;Tonelada Equivalente de Petróleo/Mil US$ PIB PPC (2021)
1773;Milhões de dólares e a preços constantes (2023)
